t_delta,datetime,visibility
151043,2024-05-29 10:51:42.463 MESZ(+0200),9.7068700790405273
152043,2024-05-29 10:51:43.463 MESZ(+0200),9.8361616134643555
153043,2024-05-29 10:51:44.463 MESZ(+0200),9.9941167831420898
154044,2024-05-29 10:51:45.464 MESZ(+0200),10.199305534362793
155044,2024-05-29 10:51:46.464 MESZ(+0200),10.312881469726562
156044,2024-05-29 10:51:47.464 MESZ(+0200),10.409172058105469
157044,2024-05-29 10:51:48.464 MESZ(+0200),10.426825523376465
158044,2024-05-29 10:51:49.464 MESZ(+0200),10.529052734375
159045,2024-05-29 10:51:50.465 MESZ(+0200),10.56981086730957
160045,2024-05-29 10:51:51.465 MESZ(+0200),10.559253692626953
161045,2024-05-29 10:51:52.465 MESZ(+0200),10.558200836181641
162045,2024-05-29 10:51:53.465 MESZ(+0200),10.472058296203613
163045,2024-05-29 10:51:54.465 MESZ(+0200),10.479084014892578
164045,2024-05-29 10:51:55.465 MESZ(+0200),10.334404945373535
165045,2024-05-29 10:51:56.465 MESZ(+0200),10.167840003967285
166045,2024-05-29 10:51:57.465 MESZ(+0200),10.138786315917969
167046,2024-05-29 10:51:58.466 MESZ(+0200),10.138786315917969
168046,2024-05-29 10:51:59.466 MESZ(+0200),10.251724243164062
169047,2024-05-29 10:52:00.467 MESZ(+0200),10.24055290222168
170047,2024-05-29 10:52:01.467 MESZ(+0200),10.067747116088867
171048,2024-05-29 10:52:02.468 MESZ(+0200),10.128747940063477
172048,2024-05-29 10:52:03.468 MESZ(+0200),10.250698089599609
173049,2024-05-29 10:52:04.469 MESZ(+0200),10.624643325805664
174049,2024-05-29 10:52:05.469 MESZ(+0200),10.877583503723145
175049,2024-05-29 10:52:06.469 MESZ(+0200),10.926959991455078
176049,2024-05-29 10:52:07.469 MESZ(+0200),11.391868591308594
177049,2024-05-29 10:52:08.469 MESZ(+0200),11.584499359130859
178049,2024-05-29 10:52:09.469 MESZ(+0200),11.005708694458008
179050,2024-05-29 10:52:10.470 MESZ(+0200),10.939765930175781
180050,2024-05-29 10:52:11.470 MESZ(+0200),11.256481170654297
181051,2024-05-29 10:52:12.471 MESZ(+0200),11.564855575561523
182051,2024-05-29 10:52:13.471 MESZ(+0200),11.354846000671387
183051,2024-05-29 10:52:14.471 MESZ(+0200),11.334275245666504
184051,2024-05-29 10:52:15.471 MESZ(+0200),11.276679992675781
185052,2024-05-29 10:52:16.472 MESZ(+0200),11.320216178894043
186052,2024-05-29 10:52:17.472 MESZ(+0200),11.482208251953125
187052,2024-05-29 10:52:18.472 MESZ(+0200),11.730667114257812
188052,2024-05-29 10:52:19.472 MESZ(+0200),12.341066360473633
189052,2024-05-29 10:52:20.472 MESZ(+0200),12.470943450927734
190053,2024-05-29 10:52:21.473 MESZ(+0200),12.484088897705078
191053,2024-05-29 10:52:22.473 MESZ(+0200),12.48463249206543
192053,2024-05-29 10:52:23.473 MESZ(+0200),12.518961906433105
193054,2024-05-29 10:52:24.474 MESZ(+0200),12.488879203796387
194054,2024-05-29 10:52:25.474 MESZ(+0200),12.626581192016602
195054,2024-05-29 10:52:26.474 MESZ(+0200),12.640524864196777
196054,2024-05-29 10:52:27.474 MESZ(+0200),12.648829460144043
197054,2024-05-29 10:52:28.474 MESZ(+0200),12.657634735107422
198055,2024-05-29 10:52:29.475 MESZ(+0200),12.643623352050781
199055,2024-05-29 10:52:30.475 MESZ(+0200),12.642230033874512
200055,2024-05-29 10:52:31.475 MESZ(+0200),12.97855281829834
201055,2024-05-29 10:52:32.475 MESZ(+0200),12.708306312561035
202055,2024-05-29 10:52:33.475 MESZ(+0200),12.661426544189453
203056,2024-05-29 10:52:34.476 MESZ(+0200),12.656761169433594
204057,2024-05-29 10:52:35.477 MESZ(+0200),13.083371162414551
205057,2024-05-29 10:52:36.477 MESZ(+0200),13.394801139831543
206057,2024-05-29 10:52:37.477 MESZ(+0200),13.262450218200684
207057,2024-05-29 10:52:38.477 MESZ(+0200),13.038029670715332
208058,2024-05-29 10:52:39.478 MESZ(+0200),13.038029670715332
209058,2024-05-29 10:52:40.478 MESZ(+0200),13.016007423400879
210058,2024-05-29 10:52:41.478 MESZ(+0200),12.417354583740234
211058,2024-05-29 10:52:42.478 MESZ(+0200),12.109659194946289
212058,2024-05-29 10:52:43.478 MESZ(+0200),11.991292953491211
213058,2024-05-29 10:52:44.478 MESZ(+0200),12.071121215820312
214058,2024-05-29 10:52:45.478 MESZ(+0200),12.242467880249023
215059,2024-05-29 10:52:46.479 MESZ(+0200),12.259870529174805
216059,2024-05-29 10:52:47.479 MESZ(+0200),12.137908935546875
217059,2024-05-29 10:52:48.479 MESZ(+0200),12.087337493896484
218059,2024-05-29 10:52:49.479 MESZ(+0200),12.204854965209961
219059,2024-05-29 10:52:50.479 MESZ(+0200),12.453193664550781
220060,2024-05-29 10:52:51.480 MESZ(+0200),12.617480278015137
221060,2024-05-29 10:52:52.480 MESZ(+0200),12.634152412414551
222060,2024-05-29 10:52:53.480 MESZ(+0200),12.669340133666992
223061,2024-05-29 10:52:54.481 MESZ(+0200),12.729272842407227
224061,2024-05-29 10:52:55.481 MESZ(+0200),12.689494132995605
225061,2024-05-29 10:52:56.481 MESZ(+0200),12.65192699432373
226061,2024-05-29 10:52:57.481 MESZ(+0200),12.562766075134277
227061,2024-05-29 10:52:58.481 MESZ(+0200),12.677814483642578
228061,2024-05-29 10:52:59.481 MESZ(+0200),12.673713684082031
229062,2024-05-29 10:53:00.482 MESZ(+0200),12.695927619934082
230062,2024-05-29 10:53:01.482 MESZ(+0200),12.724513053894043
231062,2024-05-29 10:53:02.482 MESZ(+0200),12.73908519744873
